Jahr;Monat;Branche_Code;Branche_Label;Umsatz;Veraenderung
2019;1;WZ08-56;Gastronomie;95;2.3
2019;1;WZ08-561;Restaurants & Cafes;94.1;1.4
2019;1;WZ08-562;Caterer;102.1;5.4
2019;1;WZ08-563;Bars & Clubs;84.5;1.3
2019;2;WZ08-55;Beherbergung;88.2;3.8
2019;2;WZ08-551;Hotels;90;3.9
2019;2;WZ08-552;Ferienunterkünfte;68.4;-1.4
2019;2;WZ08-553;Campingplätze;62.3;18.4
2019;2;WZ08-56;Gastronomie;97.4;7.4
2019;2;WZ08-561;Restaurants & Cafes;96.5;8.2
2019;2;WZ08-562;Caterer;104.1;7
2019;2;WZ08-563;Bars & Clubs;88.3;3.6
2019;3;WZ08-55;Beherbergung;104.5;5.9
2019;3;WZ08-551;Hotels;106.5;6.6
2019;3;WZ08-552;Ferienunterkünfte;77.3;-7.5
2019;3;WZ08-553;Campingplätze;102.7;13.5
2019;3;WZ08-56;Gastronomie;108.6;5.4
2019;3;WZ08-561;Restaurants & Cafes;108.6;5
2019;3;WZ08-562;Caterer;111.6;6.7
2019;3;WZ08-563;Bars & Clubs;101.2;5.9
2019;4;WZ08-55;Beherbergung;108.6;0.7
2019;4;WZ08-551;Hotels;107.9;-0.8
2019;4;WZ08-552;Ferienunterkünfte;106;18.3
2019;4;WZ08-553;Campingplätze;143;15.3
2019;4;WZ08-56;Gastronomie;110.5;1.6
2019;4;WZ08-561;Restaurants & Cafes;112.4;0.9
2019;4;WZ08-562;Caterer;106.9;3.2
2019;4;WZ08-563;Bars & Clubs;104.2;3.5
2019;5;WZ08-55;Beherbergung;122.6;6.1
2019;5;WZ08-551;Hotels;123.5;7.4
2019;5;WZ08-552;Ferienunterkünfte;112.1;-1.7
2019;5;WZ08-553;Campingplätze;113.5;-22.3
2019;5;WZ08-56;Gastronomie;118.2;3.1
2019;5;WZ08-561;Restaurants & Cafes;119.6;0.6
2019;5;WZ08-562;Caterer;117.8;12.1
2019;5;WZ08-563;Bars & Clubs;107.6;1.8
2019;6;WZ08-55;Beherbergung;126.9;2.7
2019;6;WZ08-551;Hotels;125.1;1.5
2019;6;WZ08-552;Ferienunterkünfte;134.8;11.4
2019;6;WZ08-553;Campingplätze;180.1;25.5
2019;6;WZ08-56;Gastronomie;120.1;4
2019;6;WZ08-561;Restaurants & Cafes;122.7;6
2019;6;WZ08-562;Caterer;115.9;-0.9
2019;6;WZ08-563;Bars & Clubs;109.2;1.2
2019;7;WZ08-55;Beherbergung;124.8;0.7
2019;7;WZ08-551;Hotels;120.7;0.2
2019;7;WZ08-552;Ferienunterkünfte;150.1;5.5
2019;7;WZ08-553;Campingplätze;221.1;-0.3
2019;7;WZ08-56;Gastronomie;121.4;2.4
2019;7;WZ08-561;Restaurants & Cafes;125.5;1.8
2019;7;WZ08-562;Caterer;112.7;3.1
2019;7;WZ08-563;Bars & Clubs;109.7;4.9
2019;8;WZ08-55;Beherbergung;124.3;1.1
2019;8;WZ08-551;Hotels;120.5;0.7
2019;8;WZ08-552;Ferienunterkünfte;146.6;4.3
2019;8;WZ08-553;Campingplätze;221.7;1
2019;8;WZ08-56;Gastronomie;123.1;4.8
2019;8;WZ08-561;Restaurants & Cafes;128;5.2
2019;8;WZ08-562;Caterer;109.6;2.8
2019;8;WZ08-563;Bars & Clubs;116.3;4.3
2019;9;WZ08-55;Beherbergung;135.5;-1.4
2019;9;WZ08-551;Hotels;136.2;-1.4
2019;9;WZ08-552;Ferienunterkünfte;128.3;-1.4
2019;9;WZ08-553;Campingplätze;128.5;1.8
2019;9;WZ08-56;Gastronomie;120;2.4
2019;9;WZ08-561;Restaurants & Cafes;119.7;1.6
2019;9;WZ08-562;Caterer;124.4;6.7
2019;9;WZ08-563;Bars & Clubs;111.1;-1.6
2019;10;WZ08-55;Beherbergung;128.6;3.3
2019;10;WZ08-551;Hotels;130.3;3.3
2019;10;WZ08-552;Ferienunterkünfte;115;3
2019;10;WZ08-553;Campingplätze;88;-0.8
2019;10;WZ08-56;Gastronomie;118.5;3.8
2019;10;WZ08-561;Restaurants & Cafes;119;3.7
2019;10;WZ08-562;Caterer;118.5;3.9
2019;10;WZ08-563;Bars & Clubs;114.4;4.5
2019;11;WZ08-55;Beherbergung;109.2;5.2
2019;11;WZ08-551;Hotels;113.4;5.6
2019;11;WZ08-552;Ferienunterkünfte;68.1;-3.1
2019;11;WZ08-553;Campingplätze;46.8;15.3
2019;11;WZ08-56;Gastronomie;113.4;4.5
2019;11;WZ08-561;Restaurants & Cafes;111.8;4.7
2019;11;WZ08-562;Caterer;121.2;3.9
2019;11;WZ08-563;Bars & Clubs;107.3;7.8
2019;12;WZ08-55;Beherbergung;104.5;2.9
2019;12;WZ08-551;Hotels;108;3.1
2019;12;WZ08-552;Ferienunterkünfte;72.9;4.7
2019;12;WZ08-553;Campingplätze;44.4;-20.1
2019;12;WZ08-56;Gastronomie;124.4;2.8
2019;12;WZ08-561;Restaurants & Cafes;126.1;3.5
2019;12;WZ08-562;Caterer;117.9;-0.8
2019;12;WZ08-563;Bars & Clubs;126.2;4.9
2020;1;WZ08-55;Beherbergung;86.4;-
2020;1;WZ08-551;Hotels;87.4;-
2020;1;WZ08-552;Ferienunterkünfte;60;-3.5
2020;1;WZ08-553;Campingplätze;115.3;2.7
2020;1;WZ08-56;Gastronomie;99.9;5.2
2020;1;WZ08-561;Restaurants & Cafes;100.4;6.7
2020;1;WZ08-562;Caterer;101.8;-0.3
2020;1;WZ08-563;Bars & Clubs;92.7;9.7
2020;2;WZ08-55;Beherbergung;91.9;4.2
2020;2;WZ08-551;Hotels;93.5;3.9
2020;2;WZ08-552;Ferienunterkünfte;73.2;7
2020;2;WZ08-553;Campingplätze;67.1;7.7
2020;2;WZ08-56;Gastronomie;100.3;3
2020;2;WZ08-561;Restaurants & Cafes;100.2;3.8
2020;2;WZ08-562;Caterer;103.7;-0.4
2020;2;WZ08-563;Bars & Clubs;95.6;8.3
2020;3;WZ08-55;Beherbergung;53.3;-49
2020;3;WZ08-551;Hotels;53.1;-50.1
2020;3;WZ08-552;Ferienunterkünfte;45.8;-40.8
2020;3;WZ08-553;Campingplätze;70.3;-31.5
